userId,content,boughtTime,voteCount,replyCount,starStep,creationTime,referenceName
22496547222,拍照很惊艳，出片效果好,2025-03-03 20:11:13,0,0,5,2025-03-04 22:07:36,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22496308142,手机质量非常好，与京东卖家描述的完全一致，非常满意，手机的质量和发货速度都超出了预期。包装非常仔细，严实物流公司服务态度很好运，送速度很快，是一次非常满意的购物体验。,2025-03-03 12:53:08,0,0,5,2025-03-04 21:31:34,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22495786493,手机不错,2025-03-01 15:46:42,0,0,5,2025-03-04 20:29:53,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22494799895,买到了物美价廉的好商品，质量杠杠的。物流给力，商家服务周到，售后有求必应。包装很好，颜值不错，质量也没有问题值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试,2025-03-03 18:14:09,0,0,5,2025-03-04 18:42:49,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22494784944,全等深四微曲的屏幕形态很满意，拍照是最强的，有6000毫安的电池，一天一充不是问题,2025-03-03 19:14:15,0,0,5,2025-03-04 18:37:49,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22494419922,十多年的苹果使用者 换成国产机的感触 不得不说 vivo真的是良心品牌 趁着国补有活动 在京东下单买了vivo200pro 有几点感触 拆开手机套装 贴膜和透明手机壳都已经备好了 不用再单独去买手机壳和贴膜 装上就能用 原装充电器和充电线质量很好的样子 一小时就能充满电 以前苹果一天一充电 现在vivo经常是1天半充电,2025-02-21 16:53:34,1,0,5,2025-03-04 17:55:49,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22493680730,用了两个月才来评价，整体感觉还不错的，图片拍的也是真美，就为了拍照来的，把宝贝拍的美美哒,2025-01-22 17:44:07,0,0,5,2025-03-04 15:53:46,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22493509045,出乎意料的顺畅，高清的摄像头,2025-03-03 21:37:40,0,0,5,2025-03-04 15:12:23,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22492854700,从开箱那一刻就被vivo X200 Pro的全等深微四曲面设计惊艳到了，辰夜黑配色低调中透着高级感，握在手里像一块温润的玉石，完全不像传统曲面屏的割手感，228g的重量在6.78英寸大屏里显得异常轻盈。天玑9400芯片+3nm工艺的组合堪称&ldquo;冷劲双雄&rdquo;，玩《原神》高画质连续两小时机身也只是微温，配合120Hz自适应高刷屏，每一次滑动都丝滑到上头。最惊喜的OriginOS 5系统的原子岛功能，外卖进度、快递信息自动聚合在桌面，彻底告别APP反复切换的繁琐。,2025-02-15 23:53:43,0,0,5,2025-03-04 12:50:01,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22492777176,"非常好
以旧换新：换掉了旧手机
外形外观：大气漂亮
屏幕音效：依旧出色
拍照效果：最给力的一项
运行速度：非常流畅
待机时间：很长很长
其他特色：就是喜欢，没有其他理由",2025-03-02 13:31:02,0,0,5,2025-03-04 12:33:31,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22492693328,"到手就迫不及待换上了线条小狗的主题！可可爱爱！
拍照效果：游玩拍照真的一绝！AI消除真的好好用！
待机时间：电池很耐用！自带充电套装充的好快！再也没有需要带充电宝的烦恼了！",2025-01-23 21:48:11,0,0,5,2025-03-04 12:14:02,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22492396384,"为了今年去看演唱会能轻装上阵特意买的这款x200pro，用了这段时间，相机功能确实强大，随手拍出来的照片都很好看，其他功能在继续摸索中。
京东物流还是超赞的！",2025-02-15 13:12:45,0,0,5,2025-03-04 11:08:38,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22491961493,我之前一直在犹豫买华为70还是viv200pro，最终还是买了vivo，手感很好，外观漂亮。,2025-02-26 19:52:41,0,0,5,2025-03-04 09:35:48,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22490887887,我这次买的是白月光版本，非常的喜欢，白色永不过时，1t的内存非常够用，可以存储非常多的视频照片，蓝厂加天玑非常丝滑，打游戏一点都不卡。最最最有特色的就是本次的两亿潜望长焦简直比我眼睛都看的清楚。总体非常OK 。,2025-03-02 21:09:30,0,0,5,2025-03-04 06:08:43,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22487639498,早买早享受吧，续航很满意。听歌外放就很一般，本人拍照小白，拍照也全是ai算法，偶尔感觉拍出来很失真。,2025-01-24 15:58:47,0,0,5,2025-03-03 23:02:28,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22484249193,挺好的 拍照真的顶 外观也非常棒 手感也无敌 物超所值好吧,2025-02-27 23:48:04,0,0,5,2025-03-03 16:26:09,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22483664943,看了好多品牌的手机，最后选择了这款，性价比很高，上网速度很快，拍照很清晰，电池待机很长时间，外观样式也很好看，满意的,2025-02-28 22:09:44,0,0,5,2025-03-03 15:16:38,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22482773972,手机收到 手感不错  颜值也漂亮美观  运行速度也快拍照效果 音效也很不错 先使用几天看看再来个评价,2025-03-02 22:25:11,0,1,5,2025-03-03 13:29:40,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22482208532,别买了到手不到一个月打游戏结束界面就卡在这里  问客服没有处理结果,2025-02-16 15:09:37,1,0,5,2025-03-03 12:02:36,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22482082571,质量非常好，非常满意的一次购物。客服有问必答，非常专业，拍照技术真的很抗打，性价比还是很高的,2025-02-28 13:44:53,0,0,5,2025-03-03 11:32:08,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22481922018,挺好的，很流畅，没有卡顿，系统润滑，屏幕跟手,2025-03-01 13:07:23,0,0,5,2025-03-03 10:58:45,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
22481116520,"采用全等深微曲屏设计，极窄边框带来高屏占比，视觉冲击感强。
 玻璃质感不错，部分配色外观精致高雅，但中框容易沾指纹，相机大圆环的缝易积灰。",2025-02-04 08:34:23,0,0,5,2025-03-03 07:12:49,vivo X200 Pro 12GB+256GB 钛色 国家补贴 蔡司2亿APO超级长焦 蓝晶×天玑9400 6000mAh蓝海电池手机
